reqId,ra,dec,startJD,endJD,created,started,ended,machine,exitcode,lightcurve
1826840,356.0632529,0.049,2458194.5,2460474.121,2024-06-12 14:55:13,2024-06-13 20:43:37,2024-06-13 20:51:25,6,61,/ztf/ops/forcedphot/lc/batchfp/br008201-008300/8242/bc764e3111ff48d57dafe74da72e40b6/batchfp_req0001826840_lc.txt
1826841,289.1201164,0.052,2458194.5,2460474.121,2024-06-12 14:55:13,2024-06-13 20:44:03,2024-06-13 20:57:36,11,57,/ztf/ops/forcedphot/lc/batchfp/br008201-008300/8242/bc764e3111ff48d57dafe74da72e40b6/batchfp_req0001826841_lc.txt
1826842,244.1257126,0.037,2458194.5,2460474.121,2024-06-12 14:55:13,2024-06-13 20:44:17,2024-06-13 20:52:22,11,57,/ztf/ops/forcedphot/lc/batchfp/br008201-008300/8242/bc764e3111ff48d57dafe74da72e40b6/batchfp_req0001826842_lc.txt
1826843,190.6517101,0.015,2458194.5,2460474.121,2024-06-12 14:55:13,2024-06-13 20:45:19,2024-06-13 20:50:57,12,57,/ztf/ops/forcedphot/lc/batchfp/br008201-008300/8242/bc764e3111ff48d57dafe74da72e40b6/batchfp_req0001826843_lc.txt
1826844,186.6344307,0.06,2458194.5,2460474.121,2024-06-12 14:55:13,2024-06-13 20:45:32,2024-06-13 20:51:33,15,61,/ztf/ops/forcedphot/lc/batchfp/br008201-008300/8242/bc764e3111ff48d57dafe74da72e40b6/batchfp_req0001826844_lc.txt
1826845,214.2615809,0.025,2458194.5,2460474.121,2024-06-12 14:55:13,2024-06-13 20:46:14,2024-06-13 20:54:30,1,57,/ztf/ops/forcedphot/lc/batchfp/br008201-008300/8242/bc764e3111ff48d57dafe74da72e40b6/batchfp_req0001826845_lc.txt
1826846,163.7085071,0.05,2458194.5,2460474.121,2024-06-12 14:55:13,2024-06-13 20:42:30,2024-06-13 20:50:59,12,61,/ztf/ops/forcedphot/lc/batchfp/br008201-008300/8242/bc764e3111ff48d57dafe74da72e40b6/batchfp_req0001826846_lc.txt
1826847,60.6632611,0.019,2458194.5,2460474.121,2024-06-12 14:55:13,2024-06-13 20:48:29,2024-06-13 20:56:55,2,61,/ztf/ops/forcedphot/lc/batchfp/br008201-008300/8242/bc764e3111ff48d57dafe74da72e40b6/batchfp_req0001826847_lc.txt
1826848,74.7593785,0.015,2458194.5,2460474.121,2024-06-12 14:55:13,2024-06-13 20:49:54,2024-06-13 21:09:48,7,61,/ztf/ops/forcedphot/lc/batchfp/br008201-008300/8242/bc764e3111ff48d57dafe74da72e40b6/batchfp_req0001826848_lc.txt
1826849,9.472744,0.06,2458194.5,2460474.121,2024-06-12 14:55:13,2024-06-13 20:49:56,2024-06-13 20:59:20,1,61,/ztf/ops/forcedphot/lc/batchfp/br008201-008300/8242/bc764e3111ff48d57dafe74da72e40b6/batchfp_req0001826849_lc.txt
