# Created by M.D. Woods -- 2024-12-10 14:13:59.817869 -- HUBBLE RESID STD: 0.12958548329063316
# Cuts: {'z': 0.015, 'c': (-0.6, 0.6), 'x1': (-3.2, 0), 'c_err': 0.1, 'x1_err': 1, 't0_err': 1, 'mu_err': 0.2}
# Avg. 'c': -0.00551355667549669 +/- 0.036976974635761585
# Avg. 'x1': -0.8959520376324503 +/- 0.26954806175496693
objname, ra, dec, z, z_cmb, MJDs, MJDe, origin, mu, mu_err, x0, x0_err, x1, x1_err, t0, t0_err, c, c_err, chisquare, chisquare_err, hostMass, hostMass_err
2005mc, 126.776497, 21.646, 0.02515, 0.02597, nan, nan, PanPlus, 35.3327, 0.1454, 0.00281541, 0.00010327, -2.6652, 0.11903, 53733.887, 0.142, 0.22779, 0.0300433, 0.11, nan, 10.5777, 0.543
2005mz, 49.957829, 41.505169, 0.01756, 0.01702, nan, nan, PanPlus, 34.3737, 0.1785, 0.00575936, 0.000511479, -2.91056, 0.0728813, 53745.484, 0.089, 0.24838, 0.0366456, 3.1, nan, 8.53699, 0.588
2006ac, 190.43692, 35.068642, 0.02309, 0.02395, nan, nan, PanPlus, 35.0228, 0.1429, 0.00787843, 0.000224219, -0.959559, 0.061352, 53781.82, 0.059, 0.0308818, 0.0265048, 0.45, nan, 11.1921, 0.098
2006ah, 206.557114, -9.13072, 0.05305, 0.05407, nan, nan, PanPlus, 37.0187, 0.1538, 0.00121719, 0.000113376, -0.553314, 0.38759, 53774.773, 0.186, 0.0580374, 0.0676287, 0.46, nan, 9.50674, 0.0
2006ak, 167.386795, 28.63064, 0.03222, 0.03325, nan, nan, PanPlus, 36.073, 0.1413, 0.00289598, 0.000184589, -1.26171, 0.13932, 53781.949, 0.668, 0.0303689, 0.0389637, 0.53, nan, 10.8579, 0.058
2006al, 159.867752, 5.18342, 0.0678, 0.06908, nan, nan, PanPlus, 37.529, 0.1338, 0.00100951, 6.05914e-05, -1.44416, 0.31917, 53787.219, 0.874, -0.10555, 0.0377577, 0.31, nan, 10.5011, 0.01
2006ar, 159.378113, 65.016144, 0.02249, 0.02287, nan, nan, PanPlus, 35.0796, 0.1472, 0.005929, 0.000168251, -0.999714, 0.20999, 53813.695, 0.14, 0.0988469, 0.0274162, 0.2, nan, 9.73115, 0.1515
2006az, 183.061172, 56.17939, 0.03108, 0.03163, nan, nan, PanPlus, 35.5868, 0.1357, 0.00582492, 0.000158414, -1.39143, 0.0431738, 53826.902, 0.045, -0.0861817, 0.0264416, 1.39, nan, 11.1124, 0.021
2006bb, 128.379547, 41.517811, 0.02467, 0.02529, nan, nan, PanPlus, 35.2828, 0.1601, 0.00688419, 0.00058774, -2.16113, 0.20298, 53813.754, 0.611, -0.0842413, 0.0549154, 0.1, nan, 10.7416, 0.25
2006bq, 279.995331, 39.982441, 0.02272, 0.02226, nan, nan, PanPlus, 34.9274, 0.147, 0.00749802, 0.000314666, -1.61638, 0.0681792, 53848.215, 0.178, 0.0462732, 0.0280559, -0.01, nan, 11.2189, 0.415
