# Created by M.D. Woods -- 2024-12-10 14:13:59.817869 -- NUM TARGETS: 1513
# Avg. 'c': -0.008497671095836087 +/- 0.037995761070720425
# Avg. 'x1': -0.08243076693919366 +/- 0.2914902035029742
# Avg. 'x0': 0.008616161355039656 +/- 0.00036897059947937867
objname, ra, dec, z, z_cmb, MJDs, MJDe, origin, mu, mu_err, x0, x0_err, x1, x1_err, t0, t0_err, c, c_err, chisquare, chisquare_err, hostMass, hostMass_err
LSQ12gdj, 358.680511, -25.676109, 0.02991, 0.02886, nan, nan, PanPlus, 35.4252, 0.1528, 1.02889e-02, 0.000307279, 1.03263, 0.19238, 56253.641, 0.151, -1.46907e-01, 0.0322829, 0.93, nan, 8.87386, 0.083
2012fr, 53.399960, -36.127140, 0.00467, 0.00434, nan, nan, PanPlus, 31.2780, 0.4433, 0.34437, 0.00961361, 1.49085, 0.12298, 56244.246, 0.09, 3.91203e-02, 0.0288908, 0.09, nan, 10.39900, 0.0
2010kg, 70.035004, 7.350000, 0.01663, 0.01645, nan, nan, PanPlus, 34.0899, 0.1803, 1.44776e-02, 0.00118408, -1.27643e+00, 0.15984, 55543.516, 0.119, 0.10590, 0.0370432, 1.61, nan, 10.24210, 0.006
2012hr, 95.410248, -59.714062, 0.00757, 0.00788, nan, nan, PanPlus, 32.6809, 0.255, 7.79659e-02, 0.00259016, -1.51215e-01, 0.1502, 56289.301, 0.106, 2.32192e-02, 0.0291111, 0.41, nan, 10.12230, 0.0
LSQ13crf, 47.709290, 1.421920, 0.06000, 0.05935, nan, nan, PanPlus, 36.5692, 0.2047, 2.14345e-03, 0.000132091, 0.14233, 0.50683, 56592.438, 0.094, 3.84624e-02, 0.0517584, 7.06, nan, 8.80055, 0.01
2009ig, 39.548370, -1.312530, 0.00922, 0.00845, nan, nan, PanPlus, 32.6122, 0.2561, 9.46018e-02, 0.00280936, 1.27632, 0.13333, 55080.781, 0.096, 5.10385e-02, 0.0292575, 0.86, nan, 10.20400, 0.019
2013E, 150.022995, -34.233688, 0.00947, 0.01053, nan, nan, PanPlus, 32.9191, 0.2251, 7.03585e-02, 0.00393114, 0.49357, 0.20292, 56309.016, 0.129, 1.39215e-02, 0.0327581, 2.90, nan, 10.57480, 0.0
2013fn, 315.098999, -14.497830, 0.02698, 0.02599, nan, nan, PanPlus, 35.2936, 0.1678, 7.21922e-03, 0.000254182, 8.81807e-02, 0.39029, 56571.246, 0.34, 9.94478e-03, 0.0338992, 0.46, nan, 7.26140, 0.036
PS1-14xw, 253.240128, 2.393470, 0.02431, 0.02440, nan, nan, PanPlus, 35.1530, 0.1707, 1.01395e-02, 0.000493035, 0.69169, 0.43379, 56785.859, 0.251, -4.11463e-02, 0.0362326, 0.16, nan, 9.22547, 0.007
2009Y, 220.599365, -17.246780, 0.00876, 0.00952, nan, nan, PanPlus, 32.8800, 0.2392, 5.33785e-02, 0.00311968, -4.91043e-02, 0.14532, 54876.461, 0.112, 0.10225, 0.0336227, 0.93, nan, 10.95100, 0.008
2006dm, 355.449341, -3.669000, 0.02284, 0.02161, nan, nan, PanPlus, 35.0193, 0.1606, 8.21377e-03, 0.000264661, -1.63615e+00, 0.1523, 53928.895, 0.121, -2.26100e-02, 0.0309585, 0.29, nan, 11.00560, 0.002
2011im, 341.105072, -0.167220, 0.01616, 0.01493, nan, nan, PanPlus, 34.5010, 0.188, 1.20150e-02, 0.000536249, -1.37458e+00, 0.23652, 55903.855, 0.334, 2.68834e-02, 0.0365788, 3.98, nan, 10.52590, 0.001
2013fw, 318.436707, 13.575970, 0.01695, 0.01586, nan, nan, PanPlus, 34.2117, 0.1815, 2.15382e-02, 0.00102255, -6.34252e-01, 0.43857, 56600.887, 0.328, -7.82251e-02, 0.0349146, 0.26, nan, 9.76360, 0.009
2009an, 185.697495, 65.851250, 0.00922, 0.00956, nan, nan, PanPlus, 33.2668, 0.2245, 3.55534e-02, 0.00119535, -1.70617e+00, 0.30067, 54898.852, 0.233, 2.98593e-02, 0.0349051, 0.30, nan, 10.51170, 0.001
2013fy, 324.363007, -47.031891, 0.03025, 0.02957, nan, nan, PanPlus, 35.4511, 0.1828, 6.41755e-03, 0.000275009, 0.64422, 0.5149, 56600.488, 0.419, 4.77793e-02, 0.0426439, 0.13, nan, 10.76580, 0.0
2013Q, 356.782776, 29.486530, 0.01720, 0.01605, nan, nan, PanPlus, 34.0822, 0.1916, 1.41563e-02, 0.000848728, -7.75550e-02, 0.48839, 56332.660, 0.243, 0.16551, 0.0404551, 0.63, nan, 6.78504, 0.008
2013dy, 334.573334, 40.569328, 0.00571, 0.00470, nan, nan, PanPlus, 31.8383, 0.4119, 0.20607, 0.0165133, 0.99913, 0.1107, 56501.305, 0.067, -4.60075e-03, 0.0328412, 0.44, nan, 9.27600, 0.004
2012V, 296.792999, 59.916641, 0.01098, 0.01046, nan, nan, PanPlus, 33.8249, 0.2083, 2.99681e-02, 0.00134679, -1.72269e+00, 0.18422, 55960.828, 0.213, -1.47591e-01, 0.0316038, 1.81, nan, 8.45953, 0.023
2009gf, 213.904617, 14.280170, 0.01845, 0.01925, nan, nan, PanPlus, 34.7419, 0.1741, 8.37410e-03, 0.000256614, -2.66304e+00, 0.18384, 55001.281, 0.26, 1.13821e-02, 0.0339709, 2.24, nan, 10.98240, 0.007
2007cq, 333.668457, 5.080250, 0.02604, 0.02481, nan, nan, PanPlus, 34.9535, 0.1639, 9.69067e-03, 0.000582446, 1.75859e-02, 0.28574, 54280.676, 0.331, 1.32790e-02, 0.0353586, 1.72, nan, 9.36898, 0.004
2013ex, 83.194252, -14.045940, 0.01046, 0.01061, nan, nan, PanPlus, 33.5798, 0.218, 4.20144e-02, 0.00321511, -5.56973e-01, 0.20155, 56530.863, 0.203, -1.15159e-01, 0.0350697, 0.51, nan, 8.72661, 0.029
2007sr, 180.470001, -18.972780, 0.00449, 0.00568, nan, nan, PanPlus, 31.3800, 0.3536, 0.17686, 0.00862358, 0.13054, 0.16566, 54448.953, 0.493, 0.16550, 0.0339241, 2.92, nan, 9.84900, 0.139
2006ej, 9.749040, -9.015720, 0.02038, 0.01926, nan, nan, PanPlus, 34.7912, 0.1675, 1.07913e-02, 0.000339646, -1.02218e+00, 0.1447, 53975.777, 0.053, -1.33566e-02, 0.0325062, 0.08, nan, 10.19490, 0.001
2013ag, 192.895920, 26.629280, 0.02129, 0.02224, nan, nan, PanPlus, 34.9684, 0.1841, 8.07853e-03, 0.000243388, -7.50917e-01, 0.5033, 56359.312, 0.393, 3.32456e-02, 0.0375641, 2.21, nan, 8.78980, 0.006
2008ec, 345.819000, 8.872170, 0.01626, 0.01501, nan, nan, PanPlus, 34.3676, 0.1845, 1.34167e-02, 0.000593554, -7.18381e-01, 0.15207, 54673.824, 0.129, 6.81122e-02, 0.0339302, 1.67, nan, 10.64070, 0.001
2007on, 54.712502, -35.575310, 0.00625, 0.00594, nan, nan, PanPlus, 31.9486, 0.2871, 0.13519, 0.00320853, -2.23988e+00, 0.0798, 54419.500, 0.074, -4.87066e-02, 0.0272751, 3.35, nan, 11.29010, 0.0
2010ko, 83.206001, -14.096080, 0.01046, 0.01061, nan, nan, PanPlus, 33.8757, 0.2199, 1.59973e-02, 0.00119279, -2.41711e+00, 0.12743, 55544.992, 0.123, 6.36396e-02, 0.0338226, 4.28, nan, 7.25539, 0.019
